Sectores de actividad económica agregados	Categoría de residuos (CER-Stat) agregada	Peligrosidad	año	Total
B-D: Industria (Incluidas minería y producción de energía)	(07.4): Plásticos	Peligrosos	2016	..
B-D: Industria (Incluidas minería y producción de energía)	(07.4): Plásticos	Peligrosos	2015	..
B-D: Industria (Incluidas minería y producción de energía)	(07.4): Plásticos	Total	2019	253.549,4
B-D: Industria (Incluidas minería y producción de energía)	(07.4): Plásticos	Total	2018	248.821,8
B-D: Industria (Incluidas minería y producción de energía)	(07.4): Plásticos	Total	2017	273.835,2
B-D: Industria (Incluidas minería y producción de energía)	(07.4): Plásticos	Total	2016	260.830,8
B-D: Industria (Incluidas minería y producción de energía)	(07.4): Plásticos	Total	2015	260.062,5
B-D: Industria (Incluidas minería y producción de energía)	(07.5): Madera	No peligrosos	2019	601.515,4
B-D: Industria (Incluidas minería y producción de energía)	(07.5): Madera	No peligrosos	2018	587.361,7
B-D: Industria (Incluidas minería y producción de energía)	(07.5): Madera	No peligrosos	2017	610.947,5
B-D: Industria (Incluidas minería y producción de energía)	(07.5): Madera	No peligrosos	2016	585.949,3
B-D: Industria (Incluidas minería y producción de energía)	(07.5): Madera	No peligrosos	2015	636.084,8
B-D: Industria (Incluidas minería y producción de energía)	(07.5): Madera	Peligrosos	2019	785,3
B-D: Industria (Incluidas minería y producción de energía)	(07.5): Madera	Peligrosos	2018	766,8
B-D: Industria (Incluidas minería y producción de energía)	(07.5): Madera	Peligrosos	2017	871,8
B-D: Industria (Incluidas minería y producción de energía)	(07.5): Madera	Peligrosos	2016	720,6
B-D: Industria (Incluidas minería y producción de energía)	(07.5): Madera	Peligrosos	2015	761,7
B-D: Industria (Incluidas minería y producción de energía)	(07.5): Madera	Total	2019	602.300,7
B-D: Industria (Incluidas minería y producción de energía)	(07.5): Madera	Total	2018	588.128,5
B-D: Industria (Incluidas minería y producción de energía)	(07.5): Madera	Total	2017	611.819,3
B-D: Industria (Incluidas minería y producción de energía)	(07.5): Madera	Total	2016	586.669,9
B-D: Industria (Incluidas minería y producción de energía)	(07.5): Madera	Total	2015	636.846,5
B-D: Industria (Incluidas minería y producción de energía)	(08): Equipos desechados	No peligrosos	2019	7.275,1
B-D: Industria (Incluidas minería y producción de energía)	(08): Equipos desechados	No peligrosos	2018	9.145,7
B-D: Industria (Incluidas minería y producción de energía)	(08): Equipos desechados	No peligrosos	2017	8.249,2
B-D: Industria (Incluidas minería y producción de energía)	(08): Equipos desechados	No peligrosos	2016	8.356,2
B-D: Industria (Incluidas minería y producción de energía)	(08): Equipos desechados	No peligrosos	2015	8.324,5
B-D: Industria (Incluidas minería y producción de energía)	(08): Equipos desechados	Peligrosos	2019	24.773,0
B-D: Industria (Incluidas minería y producción de energía)	(08): Equipos desechados	Peligrosos	2018	18.627,4
B-D: Industria (Incluidas minería y producción de energía)	(08): Equipos desechados	Peligrosos	2017	19.538,8
B-D: Industria (Incluidas minería y producción de energía)	(08): Equipos desechados	Peligrosos	2016	19.254,2
B-D: Industria (Incluidas minería y producción de energía)	(08): Equipos desechados	Peligrosos	2015	24.023,0
B-D: Industria (Incluidas minería y producción de energía)	(08): Equipos desechados	Total	2019	32.048,1
B-D: Industria (Incluidas minería y producción de energía)	(08): Equipos desechados	Total	2018	27.773,1
B-D: Industria (Incluidas minería y producción de energía)	(08): Equipos desechados	Total	2017	27.788,0
B-D: Industria (Incluidas minería y producción de energía)	(08): Equipos desechados	Total	2016	27.610,4
B-D: Industria (Incluidas minería y producción de energía)	(08): Equipos desechados	Total	2015	32.347,5
B-D: Industria (Incluidas minería y producción de energía)	(09): Animales y vegetales	No peligrosos	2019	1.665.946,2
B-D: Industria (Incluidas minería y producción de energía)	(09): Animales y vegetales	No peligrosos	2018	1.603.841,6
B-D: Industria (Incluidas minería y producción de energía)	(09): Animales y vegetales	No peligrosos	2017	1.505.607,5
B-D: Industria (Incluidas minería y producción de energía)	(09): Animales y vegetales	No peligrosos	2016	1.528.567,6
B-D: Industria (Incluidas minería y producción de energía)	(09): Animales y vegetales	No peligrosos	2015	1.821.818,9
B-D: Industria (Incluidas minería y producción de energía)	(09): Animales y vegetales	Peligrosos	2019	..
B-D: Industria (Incluidas minería y producción de energía)	(09): Animales y vegetales	Peligrosos	2018	..
B-D: Industria (Incluidas minería y producción de energía)	(09): Animales y vegetales	Peligrosos	2017	..
B-D: Industria (Incluidas minería y producción de energía)	(09): Animales y vegetales	Peligrosos	2016	..
B-D: Industria (Incluidas minería y producción de energía)	(09): Animales y vegetales	Peligrosos	2015	..
B-D: Industria (Incluidas minería y producción de energía)	(09): Animales y vegetales	Total	2019	1.665.946,2
B-D: Industria (Incluidas minería y producción de energía)	(09): Animales y vegetales	Total	2018	1.603.841,6
B-D: Industria (Incluidas minería y producción de energía)	(09): Animales y vegetales	Total	2017	1.505.607,5
B-D: Industria (Incluidas minería y producción de energía)	(09): Animales y vegetales	Total	2016	1.528.567,6
B-D: Industria (Incluidas minería y producción de energía)	(09): Animales y vegetales	Total	2015	1.821.818,9
B-D: Industria (Incluidas minería y producción de energía)	(10): Residuos mezclados	No peligrosos	2019	932.689,2
B-D: Industria (Incluidas minería y producción de energía)	(10): Residuos mezclados	No peligrosos	2018	923.273,6
B-D: Industria (Incluidas minería y producción de energía)	(10): Residuos mezclados	No peligrosos	2017	1.275.020,1
B-D: Industria (Incluidas minería y producción de energía)	(10): Residuos mezclados	No peligrosos	2016	1.105.611,2
B-D: Industria (Incluidas minería y producción de energía)	(10): Residuos mezclados	No peligrosos	2015	1.078.516,8
B-D: Industria (Incluidas minería y producción de energía)	(10): Residuos mezclados	Peligrosos	2019	12.333,1
B-D: Industria (Incluidas minería y producción de energía)	(10): Residuos mezclados	Peligrosos	2018	12.132,8
B-D: Industria (Incluidas minería y producción de energía)	(10): Residuos mezclados	Peligrosos	2017	10.670,9
B-D: Industria (Incluidas minería y producción de energía)	(10): Residuos mezclados	Peligrosos	2016	10.088,1
B-D: Industria (Incluidas minería y producción de energía)	(10): Residuos mezclados	Peligrosos	2015	12.915,5
B-D: Industria (Incluidas minería y producción de energía)	(10): Residuos mezclados	Total	2019	945.022,3
B-D: Industria (Incluidas minería y producción de energía)	(10): Residuos mezclados	Total	2018	935.406,4
B-D: Industria (Incluidas minería y producción de energía)	(10): Residuos mezclados	Total	2017	1.285.691,0
B-D: Industria (Incluidas minería y producción de energía)	(10): Residuos mezclados	Total	2016	1.115.699,3
B-D: Industria (Incluidas minería y producción de energía)	(10): Residuos mezclados	Total	2015	1.091.432,3
B-D: Industria (Incluidas minería y producción de energía)	(11): Lodos comunes	No peligrosos	2019	293.106,4
B-D: Industria (Incluidas minería y producción de energía)	(11): Lodos comunes	No peligrosos	2018	286.789,3
B-D: Industria (Incluidas minería y producción de energía)	(11): Lodos comunes	No peligrosos	2017	287.734,4
B-D: Industria (Incluidas minería y producción de energía)	(11): Lodos comunes	No peligrosos	2016	304.756,3
B-D: Industria (Incluidas minería y producción de energía)	(11): Lodos comunes	No peligrosos	2015	263.976,0
B-D: Industria (Incluidas minería y producción de energía)	(11): Lodos comunes	Peligrosos	2019	..
B-D: Industria (Incluidas minería y producción de energía)	(11): Lodos comunes	Peligrosos	2018	..
B-D: Industria (Incluidas minería y producción de energía)	(11): Lodos comunes	Peligrosos	2017	..
B-D: Industria (Incluidas minería y producción de energía)	(11): Lodos comunes	Peligrosos	2016	..
B-D: Industria (Incluidas minería y producción de energía)	(11): Lodos comunes	Peligrosos	2015	..
B-D: Industria (Incluidas minería y producción de energía)	(11): Lodos comunes	Total	2019	293.106,4
B-D: Industria (Incluidas minería y producción de energía)	(11): Lodos comunes	Total	2018	286.789,3
B-D: Industria (Incluidas minería y producción de energía)	(11): Lodos comunes	Total	2017	287.734,4
B-D: Industria (Incluidas minería y producción de energía)	(11): Lodos comunes	Total	2016	304.756,3
B-D: Industria (Incluidas minería y producción de energía)	(11): Lodos comunes	Total	2015	263.976,0
B-D: Industria (Incluidas minería y producción de energía)	(12-13): Minerales	No peligrosos	2019	30.285.756,4
B-D: Industria (Incluidas minería y producción de energía)	(12-13): Minerales	No peligrosos	2018	32.153.982,3
B-D: Industria (Incluidas minería y producción de energía)	(12-13): Minerales	No peligrosos	2017	31.576.994,4
B-D: Industria (Incluidas minería y producción de energía)	(12-13): Minerales	No peligrosos	2016	29.386.649,7
B-D: Industria (Incluidas minería y producción de energía)	(12-13): Minerales	No peligrosos	2015	28.372.151,7
B-D: Industria (Incluidas minería y producción de energía)	(12-13): Minerales	Peligrosos	2019	302.946,0
B-D: Industria (Incluidas minería y producción de energía)	(12-13): Minerales	Peligrosos	2018	309.966,2
B-D: Industria (Incluidas minería y producción de energía)	(12-13): Minerales	Peligrosos	2017	374.903,2
B-D: Industria (Incluidas minería y producción de energía)	(12-13): Minerales	Peligrosos	2016	331.524,5
B-D: Industria (Incluidas minería y producción de energía)	(12-13): Minerales	Peligrosos	2015	356.401,8
B-D: Industria (Incluidas minería y producción de energía)	(12-13): Minerales	Total	2019	30.588.702,4
B-D: Industria (Incluidas minería y producción de energía)	(12-13): Minerales	Total	2018	32.463.948,5
B-D: Industria (Incluidas minería y producción de energía)	(12-13): Minerales	Total	2017	31.951.897,6
B-D: Industria (Incluidas minería y producción de energía)	(12-13): Minerales	Total	2016	29.718.174,2
B-D: Industria (Incluidas minería y producción de energía)	(12-13): Minerales	Total	2015	28.728.553,5
B-D: Industria (Incluidas minería y producción de energía)	Resto: Otros	No peligrosos	2019	75.991,9
B-D: Industria (Incluidas minería y producción de energía)	Resto: Otros	No peligrosos	2018	75.469,6
B-D: Industria (Incluidas minería y producción de energía)	Resto: Otros	No peligrosos	2017	84.073,0
B-D: Industria (Incluidas minería y producción de energía)	Resto: Otros	No peligrosos	2016	80.627,8
B-D: Industria (Incluidas minería y producción de energía)	Resto: Otros	No peligrosos	2015	82.622,8
B-D: Industria (Incluidas minería y producción de energía)	Resto: Otros	Peligrosos	2019	1.869,8
B-D: Industria (Incluidas minería y producción de energía)	Resto: Otros	Peligrosos	2018	1.850,6
B-D: Industria (Incluidas minería y producción de energía)	Resto: Otros	Peligrosos	2017	1.723,2
B-D: Industria (Incluidas minería y producción de energía)	Resto: Otros	Peligrosos	2016	1.722,4
B-D: Industria (Incluidas minería y producción de energía)	Resto: Otros	Peligrosos	2015	2.695,7
B-D: Industria (Incluidas minería y producción de energía)	Resto: Otros	Total	2019	77.861,7
B-D: Industria (Incluidas minería y producción de energía)	Resto: Otros	Total	2018	77.320,2
B-D: Industria (Incluidas minería y producción de energía)	Resto: Otros	Total	2017	85.796,2
B-D: Industria (Incluidas minería y producción de energía)	Resto: Otros	Total	2016	82.350,2
B-D: Industria (Incluidas minería y producción de energía)	Resto: Otros	Total	2015	85.318,5
B-D: Industria (Incluidas minería y producción de energía)	Total, no peligrosos	No peligrosos	2019	37.617.729,4
B-D: Industria (Incluidas minería y producción de energía)	Total, no peligrosos	No peligrosos	2018	39.390.544,1
B-D: Industria (Incluidas minería y producción de energía)	Total, no peligrosos	No peligrosos	2017	39.659.819,1
B-D: Industria (Incluidas minería y producción de energía)	Total, no peligrosos	No peligrosos	2016	37.073.764,2
B-D: Industria (Incluidas minería y producción de energía)	Total, no peligrosos	No peligrosos	2015	36.656.401,4
B-D: Industria (Incluidas minería y producción de energía)	Total, no peligrosos	Peligrosos	2019	..
B-D: Industria (Incluidas minería y producción de energía)	Total, no peligrosos	Peligrosos	2018	..
B-D: Industria (Incluidas minería y producción de energía)	Total, no peligrosos	Peligrosos	2017	..
B-D: Industria (Incluidas minería y producción de energía)	Total, no peligrosos	Peligrosos	2016	..
B-D: Industria (Incluidas minería y producción de energía)	Total, no peligrosos	Peligrosos	2015	..
B-D: Industria (Incluidas minería y producción de energía)	Total, no peligrosos	Total	2019	37.617.729,4
B-D: Industria (Incluidas minería y producción de energía)	Total, no peligrosos	Total	2018	39.390.544,1
B-D: Industria (Incluidas minería y producción de energía)	Total, no peligrosos	Total	2017	39.659.819,1
B-D: Industria (Incluidas minería y producción de energía)	Total, no peligrosos	Total	2016	37.073.764,2
B-D: Industria (Incluidas minería y producción de energía)	Total, no peligrosos	Total	2015	36.656.401,4
B-D: Industria (Incluidas minería y producción de energía)	Total, peligrosos	No peligrosos	2019	..
B-D: Industria (Incluidas minería y producción de energía)	Total, peligrosos	No peligrosos	2018	..
B-D: Industria (Incluidas minería y producción de energía)	Total, peligrosos	No peligrosos	2017	..
B-D: Industria (Incluidas minería y producción de energía)	Total, peligrosos	No peligrosos	2016	..
B-D: Industria (Incluidas minería y producción de energía)	Total, peligrosos	No peligrosos	2015	..
B-D: Industria (Incluidas minería y producción de energía)	Total, peligrosos	Peligrosos	2019	1.192.868,7
B-D: Industria (Incluidas minería y producción de energía)	Total, peligrosos	Peligrosos	2018	1.196.755,7
B-D: Industria (Incluidas minería y producción de energía)	Total, peligrosos	Peligrosos	2017	1.462.362,4
B-D: Industria (Incluidas minería y producción de energía)	Total, peligrosos	Peligrosos	2016	1.368.808,2
B-D: Industria (Incluidas minería y producción de energía)	Total, peligrosos	Peligrosos	2015	1.372.633,1
B-D: Industria (Incluidas minería y producción de energía)	Total, peligrosos	Total	2019	1.192.868,7
B-D: Industria (Incluidas minería y producción de energía)	Total, peligrosos	Total	2018	1.196.755,7
B-D: Industria (Incluidas minería y producción de energía)	Total, peligrosos	Total	2017	1.462.362,4
B-D: Industria (Incluidas minería y producción de energía)	Total, peligrosos	Total	2016	1.368.808,2
B-D: Industria (Incluidas minería y producción de energía)	Total, peligrosos	Total	2015	1.372.633,1
B-D: Industria (Incluidas minería y producción de energía)	TOTAL	No peligrosos	2019	..
B-D: Industria (Incluidas minería y producción de energía)	TOTAL	No peligrosos	2018	..
B-D: Industria (Incluidas minería y producción de energía)	TOTAL	No peligrosos	2017	..
B-D: Industria (Incluidas minería y producción de energía)	TOTAL	No peligrosos	2016	..
B-D: Industria (Incluidas minería y producción de energía)	TOTAL	No peligrosos	2015	..
B-D: Industria (Incluidas minería y producción de energía)	TOTAL	Peligrosos	2019	..
B-D: Industria (Incluidas minería y producción de energía)	TOTAL	Peligrosos	2018	..
B-D: Industria (Incluidas minería y producción de energía)	TOTAL	Peligrosos	2017	..
B-D: Industria (Incluidas minería y producción de energía)	TOTAL	Peligrosos	2016	..
B-D: Industria (Incluidas minería y producción de energía)	TOTAL	Peligrosos	2015	..
B-D: Industria (Incluidas minería y producción de energía)	TOTAL	Total	2019	38.810.598,1
B-D: Industria (Incluidas minería y producción de energía)	TOTAL	Total	2018	40.587.299,8
B-D: Industria (Incluidas minería y producción de energía)	TOTAL	Total	2017	41.122.181,5
B-D: Industria (Incluidas minería y producción de energía)	TOTAL	Total	2016	38.442.572,4
B-D: Industria (Incluidas minería y producción de energía)	TOTAL	Total	2015	38.029.034,5
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(01-03): Químicos	No peligrosos	2019	232.185,8
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(01-03): Químicos	No peligrosos	2018	215.158,2
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(01-03): Químicos	No peligrosos	2017	127.536,9
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(01-03): Químicos	No peligrosos	2016	152.055,7
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(01-03): Químicos	No peligrosos	2015	191.214,6
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(01-03): Químicos	Peligrosos	2019	316.220,9
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(01-03): Químicos	Peligrosos	2018	298.878,4
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(01-03): Químicos	Peligrosos	2017	271.177,6
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(01-03): Químicos	Peligrosos	2016	260.557,8
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(01-03): Químicos	Peligrosos	2015	331.382,4
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(01-03): Químicos	Total	2019	548.406,7
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(01-03): Químicos	Total	2018	514.036,6
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(01-03): Químicos	Total	2017	398.714,5
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(01-03): Químicos	Total	2016	412.613,5
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(01-03): Químicos	Total	2015	522.597,0
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(06): Metálicos	No peligrosos	2019	3.696.170,7
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(06): Metálicos	No peligrosos	2018	3.646.469,4
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(06): Metálicos	No peligrosos	2017	3.287.305,6
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(06): Metálicos	No peligrosos	2016	3.061.277,1
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(06): Metálicos	No peligrosos	2015	3.762.615,0
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(06): Metálicos	Peligrosos	2019	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(06): Metálicos	Peligrosos	2018	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(06): Metálicos	Peligrosos	2017	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(06): Metálicos	Peligrosos	2016	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(06): Metálicos	Peligrosos	2015	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(06): Metálicos	Total	2019	3.696.170,7
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(06): Metálicos	Total	2018	3.646.469,4
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(06): Metálicos	Total	2017	3.287.305,6
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(06): Metálicos	Total	2016	3.061.277,1
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(06): Metálicos	Total	2015	3.762.615,0
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.1): Vidrio	No peligrosos	2019	85.385,8
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.1): Vidrio	No peligrosos	2018	73.654,2
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.1): Vidrio	No peligrosos	2017	40.668,4
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.1): Vidrio	No peligrosos	2016	40.807,0
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.1): Vidrio	No peligrosos	2015	23.044,8
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.1): Vidrio	Peligrosos	2019	1,8
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.1): Vidrio	Peligrosos	2018	2,3
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.1): Vidrio	Peligrosos	2017	1,8
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.1): Vidrio	Peligrosos	2016	1,6
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.1): Vidrio	Peligrosos	2015	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.1): Vidrio	Total	2019	85.387,6
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.1): Vidrio	Total	2018	73.656,5
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.1): Vidrio	Total	2017	40.670,2
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.1): Vidrio	Total	2016	40.808,6
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.1): Vidrio	Total	2015	23.044,8
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.2): Papel y Cartón	No peligrosos	2019	213.113,7
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.2): Papel y Cartón	No peligrosos	2018	227.459,9
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.2): Papel y Cartón	No peligrosos	2017	255.371,2
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.2): Papel y Cartón	No peligrosos	2016	237.376,9
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.2): Papel y Cartón	No peligrosos	2015	278.706,8
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.2): Papel y Cartón	Peligrosos	2019	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.2): Papel y Cartón	Peligrosos	2018	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.2): Papel y Cartón	Peligrosos	2017	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.2): Papel y Cartón	Peligrosos	2016	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.2): Papel y Cartón	Peligrosos	2015	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.2): Papel y Cartón	Total	2019	213.113,7
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.2): Papel y Cartón	Total	2018	227.459,9
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.2): Papel y Cartón	Total	2017	255.371,2
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.2): Papel y Cartón	Total	2016	237.376,9
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.2): Papel y Cartón	Total	2015	278.706,8
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.4): Plásticos	No peligrosos	2019	273.525,6
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.4): Plásticos	No peligrosos	2018	213.363,7
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.4): Plásticos	No peligrosos	2017	143.768,0
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.4): Plásticos	No peligrosos	2016	149.560,4
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.4): Plásticos	No peligrosos	2015	85.430,4
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.4): Plásticos	Peligrosos	2019	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.4): Plásticos	Peligrosos	2018	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.4): Plásticos	Peligrosos	2017	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.4): Plásticos	Peligrosos	2016	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.4): Plásticos	Peligrosos	2015	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.4): Plásticos	Total	2019	273.525,6
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.4): Plásticos	Total	2018	213.363,7
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.4): Plásticos	Total	2017	143.768,0
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.4): Plásticos	Total	2016	149.560,4
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.4): Plásticos	Total	2015	85.430,4
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.5): Madera	No peligrosos	2019	55.926,0
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.5): Madera	No peligrosos	2018	47.294,3
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.5): Madera	No peligrosos	2017	44.022,6
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.5): Madera	No peligrosos	2016	44.899,6
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.5): Madera	No peligrosos	2015	91.733,1
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.5): Madera	Peligrosos	2019	97,5
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.5): Madera	Peligrosos	2018	86,3
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.5): Madera	Peligrosos	2017	69,2
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.5): Madera	Peligrosos	2016	60,7
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.5): Madera	Peligrosos	2015	0,2
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.5): Madera	Total	2019	56.023,5
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.5): Madera	Total	2018	47.380,6
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.5): Madera	Total	2017	44.091,8
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.5): Madera	Total	2016	44.960,3
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(07.5): Madera	Total	2015	91.733,3
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(08): Equipos desechados	No peligrosos	2019	61.606,8
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(08): Equipos desechados	No peligrosos	2018	96.468,7
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(08): Equipos desechados	No peligrosos	2017	63.898,7
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(08): Equipos desechados	No peligrosos	2016	59.871,5
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(08): Equipos desechados	No peligrosos	2015	12.798,2
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(08): Equipos desechados	Peligrosos	2019	125.707,9
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(08): Equipos desechados	Peligrosos	2018	43.690,8
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(08): Equipos desechados	Peligrosos	2017	30.046,1
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(08): Equipos desechados	Peligrosos	2016	29.530,8
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(08): Equipos desechados	Peligrosos	2015	19.334,8
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(08): Equipos desechados	Total	2019	187.314,7
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(08): Equipos desechados	Total	2018	140.159,5
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(08): Equipos desechados	Total	2017	93.944,8
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(08): Equipos desechados	Total	2016	89.402,3
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(08): Equipos desechados	Total	2015	32.133,0
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(09): Animales y vegetales	No peligrosos	2019	19.083,3
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(09): Animales y vegetales	No peligrosos	2018	19.338,8
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(09): Animales y vegetales	No peligrosos	2017	12.568,1
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(09): Animales y vegetales	No peligrosos	2016	12.378,9
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(09): Animales y vegetales	No peligrosos	2015	18.692,2
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(09): Animales y vegetales	Peligrosos	2019	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(09): Animales y vegetales	Peligrosos	2018	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(09): Animales y vegetales	Peligrosos	2017	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(09): Animales y vegetales	Peligrosos	2016	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(09): Animales y vegetales	Peligrosos	2015	..
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(09): Animales y vegetales	Total	2019	19.083,3
E: Suministro de agua, saneamiento, gestión de residuos y descontaminación.	(09): Animales y vegetales	Total	2018	19.338,8
